Feature 1,Feature 2,Dataset,ID
5.1,3.5,Iris,0
4.9,3.0,Iris,1
4.7,3.2,Iris,2
4.6,3.1,Iris,3
5.0,3.6,Iris,4
5.4,3.9,Iris,5
4.6,3.4,Iris,6
5.0,3.4,Iris,7
4.4,2.9,Iris,8
4.9,3.1,Iris,9
5.4,3.7,Iris,10
4.8,3.4,Iris,11
4.8,3.0,Iris,12
4.3,3.0,Iris,13
5.8,4.0,Iris,14
5.7,4.4,Iris,15
5.4,3.9,Iris,16
5.1,3.5,Iris,17
5.7,3.8,Iris,18
5.1,3.8,Iris,19
5.4,3.4,Iris,20
5.1,3.7,Iris,21
4.6,3.6,Iris,22
5.1,3.3,Iris,23
4.8,3.4,Iris,24
5.0,3.0,Iris,25
5.0,3.4,Iris,26
5.2,3.5,Iris,27
5.2,3.4,Iris,28
4.7,3.2,Iris,29
4.8,3.1,Iris,30
5.4,3.4,Iris,31
5.2,4.1,Iris,32
5.5,4.2,Iris,33
4.9,3.1,Iris,34
5.0,3.2,Iris,35
5.5,3.5,Iris,36
4.9,3.6,Iris,37
4.4,3.0,Iris,38
5.1,3.4,Iris,39
5.0,3.5,Iris,40
4.5,2.3,Iris,41
4.4,3.2,Iris,42
5.0,3.5,Iris,43
5.1,3.8,Iris,44
4.8,3.0,Iris,45
5.1,3.8,Iris,46
4.6,3.2,Iris,47
5.3,3.7,Iris,48
5.0,3.3,Iris,49
7.0,3.2,Iris,50
6.4,3.2,Iris,51
6.9,3.1,Iris,52
5.5,2.3,Iris,53
6.5,2.8,Iris,54
5.7,2.8,Iris,55
6.3,3.3,Iris,56
4.9,2.4,Iris,57
6.6,2.9,Iris,58
5.2,2.7,Iris,59
5.0,2.0,Iris,60
5.9,3.0,Iris,61
6.0,2.2,Iris,62
6.1,2.9,Iris,63
5.6,2.9,Iris,64
6.7,3.1,Iris,65
5.6,3.0,Iris,66
5.8,2.7,Iris,67
6.2,2.2,Iris,68
5.6,2.5,Iris,69
5.9,3.2,Iris,70
6.1,2.8,Iris,71
6.3,2.5,Iris,72
6.1,2.8,Iris,73
6.4,2.9,Iris,74
6.6,3.0,Iris,75
6.8,2.8,Iris,76
6.7,3.0,Iris,77
6.0,2.9,Iris,78
5.7,2.6,Iris,79
5.5,2.4,Iris,80
5.5,2.4,Iris,81
5.8,2.7,Iris,82
6.0,2.7,Iris,83
5.4,3.0,Iris,84
6.0,3.4,Iris,85
6.7,3.1,Iris,86
6.3,2.3,Iris,87
5.6,3.0,Iris,88
5.5,2.5,Iris,89
5.5,2.6,Iris,90
6.1,3.0,Iris,91
5.8,2.6,Iris,92
5.0,2.3,Iris,93
5.6,2.7,Iris,94
5.7,3.0,Iris,95
5.7,2.9,Iris,96
6.2,2.9,Iris,97
5.1,2.5,Iris,98
5.7,2.8,Iris,99
6.3,3.3,Iris,100
5.8,2.7,Iris,101
7.1,3.0,Iris,102
6.3,2.9,Iris,103
6.5,3.0,Iris,104
7.6,3.0,Iris,105
4.9,2.5,Iris,106
7.3,2.9,Iris,107
6.7,2.5,Iris,108
7.2,3.6,Iris,109
6.5,3.2,Iris,110
6.4,2.7,Iris,111
6.8,3.0,Iris,112
5.7,2.5,Iris,113
5.8,2.8,Iris,114
6.4,3.2,Iris,115
6.5,3.0,Iris,116
7.7,3.8,Iris,117
7.7,2.6,Iris,118
6.0,2.2,Iris,119
6.9,3.2,Iris,120
5.6,2.8,Iris,121
7.7,2.8,Iris,122
6.3,2.7,Iris,123
6.7,3.3,Iris,124
7.2,3.2,Iris,125
6.2,2.8,Iris,126
6.1,3.0,Iris,127
6.4,2.8,Iris,128
7.2,3.0,Iris,129
7.4,2.8,Iris,130
7.9,3.8,Iris,131
6.4,2.8,Iris,132
6.3,2.8,Iris,133
6.1,2.6,Iris,134
7.7,3.0,Iris,135
6.3,3.4,Iris,136
6.4,3.1,Iris,137
6.0,3.0,Iris,138
6.9,3.1,Iris,139
6.7,3.1,Iris,140
6.9,3.1,Iris,141
5.8,2.7,Iris,142
6.8,3.2,Iris,143
6.7,3.3,Iris,144
6.7,3.0,Iris,145
6.3,2.5,Iris,146
6.5,3.0,Iris,147
6.2,3.4,Iris,148
5.9,3.0,Iris,149
